H,k,eps,init,quantity,n_draws,n_degenerate,n,mean,std,min,q05,q25,q50,q75,q95,max,estimate,q50_over_estimate
128,16,1e-05,torch_default,kappa,1000,0,1000,0.000560271,5.17975e-05,0.000437529,0.00048559,0.000524054,0.000556559,0.000592087,0.000655291,0.000784327,,
16,2,1e-06,zero_bias,eps_principal_width,1000,1000,2000,0.00267703,0.000547381,0.00168368,0.00199472,0.00226922,0.00256103,0.0029787,0.00372636,0.00524466,,
16,2,1e-06,zero_bias,eps_principal_width_min,1000,1000,1000,0.00228281,0.000228333,0.00168368,0.00192732,0.0021311,0.0022719,0.00243062,0.00267279,0.00347539,,
16,2,1e-06,zero_bias,eps_principal_width_max,1000,1000,1000,0.00307124,0.000486103,0.00214804,0.00247265,0.00274321,0.00297577,0.00328375,0.0040369,0.00524466,,
16,2,1e-06,torch_default,median_r_star,1000,0,1000,0.936996,0.159326,0.470874,0.690023,0.820608,0.927235,1.03942,1.20849,1.70965,0.901388,1.02868
16,2,1e-06,torch_default,principal_width,1000,0,2000,0.976115,0.245121,0.443199,0.649764,0.799548,0.939013,1.11684,1.43232,2.24243,,
16,2,1e-06,torch_default,principal_width_min,1000,0,1000,0.832052,0.143958,0.443199,0.608205,0.727504,0.823395,0.932591,1.08102,1.44502,,
16,2,1e-06,torch_default,principal_width_max,1000,0,1000,1.12018,0.24074,0.532954,0.773688,0.951086,1.09196,1.25329,1.56016,2.24243,,
16,2,1e-06,torch_default,norm_z_star,1000,0,1000,0.339582,0.189512,0.000487661,0.0789918,0.197206,0.317184,0.443549,0.669709,1.22755,,
16,2,1e-06,torch_default,kappa,1000,0,1000,8.03576e-06,2.63661e-06,3.73869e-06,4.97726e-06,6.22572e-06,7.42551e-06,9.15984e-06,1.29241e-05,2.53209e-05,,
16,2,1e-05,zero_bias,eps_principal_width,1000,1000,2000,0.0084655,0.00173097,0.00532428,0.00630787,0.0071759,0.00809869,0.00941948,0.0117838,0.0165851,,
16,2,1e-05,zero_bias,eps_principal_width_min,1000,1000,1000,0.00721888,0.000722053,0.00532428,0.00609473,0.00673912,0.00718439,0.00768631,0.00845211,0.0109902,,
16,2,1e-05,zero_bias,eps_principal_width_max,1000,1000,1000,0.00971211,0.00153719,0.00679271,0.00781919,0.0086748,0.0094102,0.0103841,0.0127658,0.0165851,,
16,2,1e-05,torch_default,median_r_star,1000,0,1000,0.936996,0.159326,0.470874,0.690023,0.820608,0.927235,1.03942,1.20849,1.70965,0.901388,1.02868
16,2,1e-05,torch_default,principal_width,1000,0,2000,0.976115,0.245121,0.443199,0.649764,0.799548,0.939013,1.11684,1.43232,2.24243,,
16,2,1e-05,torch_default,principal_width_min,1000,0,1000,0.832052,0.143958,0.443199,0.608205,0.727504,0.823395,0.932591,1.08102,1.44502,,
16,2,1e-05,torch_default,principal_width_max,1000,0,1000,1.12018,0.24074,0.532954,0.773688,0.951086,1.09196,1.25329,1.56016,2.24243,,
16,2,1e-05,torch_default,norm_z_star,1000,0,1000,0.339582,0.189512,0.000487661,0.0789918,0.197206,0.317184,0.443549,0.669709,1.22755,,
16,2,1e-05,torch_default,kappa,1000,0,1000,8.03576e-05,2.63661e-05,3.73869e-05,4.97726e-05,6.22572e-05,7.42551e-05,9.15984e-05,0.000129241,0.000253209,,
64,2,1e-06,zero_bias,eps_principal_width,1000,1000,2000,0.00249305,0.000223024,0.00195049,0.00216246,0.00232305,0.00247162,0.00265362,0.00287376,0.00343127,,
64,2,1e-06,zero_bias,eps_principal_width_min,1000,1000,1000,0.00232279,0.000123155,0.00195049,0.00212287,0.00224108,0.00232446,0.00240276,0.00253615,0.0027813,,
64,2,1e-06,zero_bias,eps_principal_width_max,1000,1000,1000,0.0026633,0.000162268,0.0022872,0.00242773,0.00254885,0.00265097,0.00275662,0.00294622,0.00343127,,
64,2,1e-06,torch_default,median_r_star,1000,0,1000,0.984643,0.0754055,0.773143,0.858847,0.931668,0.985208,1.0327,1.10482,1.21732,0.976281,1.00914
64,2,1e-06,torch_default,principal_width,1000,0,2000,0.99316,0.10758,0.712146,0.828916,0.914593,0.982583,1.06806,1.17787,1.42182,,
64,2,1e-06,torch_default,principal_width_min,1000,0,1000,0.925329,0.0747823,0.712146,0.803497,0.876569,0.923755,0.972512,1.04963,1.16555,,
64,2,1e-06,torch_default,principal_width_max,1000,0,1000,1.06099,0.0914037,0.81266,0.917318,0.999755,1.06157,1.11852,1.21332,1.42182,,
64,2,1e-06,torch_default,norm_z_star,1000,0,1000,0.155364,0.0812217,0.00555447,0.0405445,0.0937141,0.145223,0.205135,0.302608,0.549356,,
64,2,1e-06,torch_default,kappa,1000,0,1000,6.37227e-06,7.91553e-07,4.45699e-06,5.24507e-06,5.82137e-06,6.28624e-06,6.80478e-06,7.88333e-06,9.73976e-06,,
64,2,1e-05,zero_bias,eps_principal_width,1000,1000,2000,0.00788371,0.000705265,0.00616798,0.0068383,0.00734612,0.00781595,0.00839149,0.00908764,0.0108506,,
64,2,1e-05,zero_bias,eps_principal_width_min,1000,1000,1000,0.00734532,0.000389451,0.00616798,0.00671309,0.00708693,0.00735059,0.00759818,0.00802003,0.00879526,,
64,2,1e-05,zero_bias,eps_principal_width_max,1000,1000,1000,0.0084221,0.000513137,0.00723277,0.00767717,0.00806017,0.00838309,0.00871719,0.00931676,0.0108506,,
64,2,1e-05,torch_default,median_r_star,1000,0,1000,0.984643,0.0754055,0.773143,0.858847,0.931668,0.985208,1.0327,1.10482,1.21732,0.976281,1.00914
64,2,1e-05,torch_default,principal_width,1000,0,2000,0.99316,0.10758,0.712146,0.828916,0.914593,0.982583,1.06806,1.17787,1.42182,,
64,2,1e-05,torch_default,principal_width_min,1000,0,1000,0.925329,0.0747823,0.712146,0.803497,0.876569,0.923755,0.972512,1.04963,1.16555,,
64,2,1e-05,torch_default,principal_width_max,1000,0,1000,1.06099,0.0914037,0.81266,0.917318,0.999755,1.06157,1.11852,1.21332,1.42182,,
64,2,1e-05,torch_default,norm_z_star,1000,0,1000,0.155364,0.0812217,0.00555447,0.0405445,0.0937141,0.145223,0.205135,0.302608,0.549356,,
64,2,1e-05,torch_default,kappa,1000,0,1000,6.37227e-05,7.91553e-06,4.45699e-05,5.24507e-05,5.82137e-05,6.28624e-05,6.80478e-05,7.88333e-05,9.73976e-05,,
256,16,1e-06,zero_bias,eps_principal_width,1000,1000,16000,0.00711126,0.00091159,0.00539864,0.00580178,0.00636268,0.00700935,0.0077874,0.0087304,0.00999153,,
256,16,1e-06,zero_bias,eps_principal_width_min,1000,1000,1000,0.00572904,0.000116197,0.00539864,0.00552983,0.00565286,0.00573047,0.00581053,0.00591974,0.00603725,,
256,16,1e-06,zero_bias,eps_principal_width_max,1000,1000,1000,0.00889276,0.000258594,0.00829865,0.00850965,0.00871246,0.00887091,0.00905201,0.00933675,0.00999153,,
256,16,1e-06,torch_default,median_r_star,1000,0,1000,0.968475,0.0315655,0.860833,0.917233,0.946893,0.967982,0.988306,1.02313,1.07692,0.966227,1.00182
256,16,1e-06,torch_default,principal_width,1000,0,16000,0.990895,0.130778,0.689336,0.802132,0.885245,0.976901,1.08499,1.22308,1.44475,,
256,16,1e-06,torch_default,principal_width_min,1000,0,1000,0.798274,0.0290896,0.689336,0.752291,0.780421,0.796741,0.816657,0.84696,0.885906,,
256,16,1e-06,torch_default,principal_width_max,1000,0,1000,1.23915,0.0533856,1.10432,1.15812,1.20099,1.23539,1.2738,1.32992,1.44475,,
256,16,1e-06,torch_default,norm_z_star,1000,0,1000,0.252226,0.0456303,0.125548,0.180651,0.21783,0.251936,0.284391,0.325518,0.426046,,
256,16,1e-06,torch_default,kappa,1000,0,1000,5.16524e-05,3.20611e-06,4.09764e-05,4.63866e-05,4.963e-05,5.15415e-05,5.36622e-05,5.70718e-05,6.45919e-05,,
256,16,1e-05,zero_bias,eps_principal_width,1000,1000,16000,0.0224878,0.0028827,0.017072,0.0183468,0.0201206,0.0221655,0.0246259,0.027608,0.031596,,
256,16,1e-05,zero_bias,eps_principal_width_min,1000,1000,1000,0.0181168,0.000367446,0.017072,0.0174868,0.0178759,0.0181213,0.0183745,0.0187199,0.0190915,,
256,16,1e-05,zero_bias,eps_principal_width_max,1000,1000,1000,0.0281214,0.000817745,0.0262426,0.0269099,0.0275512,0.0280523,0.028625,0.0295254,0.031596,,
256,16,1e-05,torch_default,median_r_star,1000,0,1000,0.968475,0.0315655,0.860833,0.917233,0.946893,0.967982,0.988306,1.02313,1.07692,0.966227,1.00182
256,16,1e-05,torch_default,principal_width,1000,0,16000,0.990895,0.130778,0.689336,0.802132,0.885245,0.976901,1.08499,1.22308,1.44475,,
256,16,1e-05,torch_default,principal_width_min,1000,0,1000,0.798274,0.0290896,0.689336,0.752291,0.780421,0.796741,0.816657,0.84696,0.885906,,
256,16,1e-05,torch_default,principal_width_max,1000,0,1000,1.23915,0.0533856,1.10432,1.15812,1.20099,1.23539,1.2738,1.32992,1.44475,,
256,16,1e-05,torch_default,norm_z_star,1000,0,1000,0.252226,0.0456303,0.125548,0.180651,0.21783,0.251936,0.284391,0.325518,0.426046,,
256,16,1e-05,torch_default,kappa,1000,0,1000,0.000516524,3.20611e-05,0.000409764,0.000463866,0.0004963,0.000515415,0.000536622,0.000570718,0.000645919,,
